"Run","Run ID","metric","step","timestamp","value"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","28528","1779550605934","2.3210525512695312"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","28912","1779550692998","2.1967530250549316"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","29304","1779550803214","2.1630725860595703"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","29304","1779551394843","2.1880717277526855"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","29696","1779550891082","2.21024489402771"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","29696","1779551482891","2.2830312252044678"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30088","1779550979488","2.2699224948883057"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30088","1779551571063","2.399426221847534"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30480","1779551067590","2.1188573837280273"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30480","1779551659623","2.113168239593506"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30872","1779551156008","2.143092393875122"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","30872","1779551747762","2.2920265197753906"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","31264","1779551244321","2.3742382526397705"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","31264","1779551836667","2.2038440704345703"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","31648","1779551923256","2.0416972637176514"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","32040","1779552033636","2.123809337615967"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","32432","1779552122220","2.125762462615967"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","32824","1779552210410","1.9934769868850708"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","33216","1779552299080","2.0676097869873047"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","33608","1779552387204","2.144197940826416"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","33992","1779552473732","2.0565757751464844"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","34384","1779552562736","2.0881404876708984"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","34776","1779552650940","2.1763575077056885"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","35168","1779552739735","2.035757541656494"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","35560","1779552827941","1.9008164405822754"
"waitk-student","b76a5c8a73b64b7d9899cd1ce49d9144","loss.total","35952","1779552916203","2.0036044120788574"
